#Condition A: pooled_N2_run2/IRFinder-IR-dir.txt
#Condition B: pooled_TFIIS_I_run2/IRFinder-IR-dir.txt
Chr	Start	End	Intron-GeneName/GeneID	-	Direction	ExcludedBases	p-diff	p-increased	p-decreased	A-IRratio	A-IRok	A-IntronCover	A-IntronDepth	A-SplicesMax	A-SplicesExact	B-IRratio	B-IRok	B-IntronCover	B-IntronDepth	B-SplicesMax	B-SplicesExact
X	5353453	5353517	pfn-2/WBGene00003990/clean	0	-	10	0.0387555	0.961245	0.0387555	0.0152284	-	1	3	194	194	0	-	0	0	247	247
I	4949808	4950208	F28B3.10/WBGene00017889/clean	0	-	10	0.0388032	0.0388032	0.961197	0.00302973	-	0.328205	0.0705128	108	108	0.0342655	NonUniformIntronCover	0.505128	4.04487	114	114
X	166688	166758	T08D2.2/WBGene00011607/clean	0	+	17	0.038807	0.961193	0.038807	0.26839	NonUniformIntronCover	1	11.7391	32	32	0.0345158	-	0.679245	0.913043	19	19
V	1134974	1135028	W07B8.1/WBGene00021070/clean	0	+	10	0.0389909	0.961009	0.0389909	0.0489379	NonUniformIntronCover	0.75	20.2222	393	393	0	-	0	0	69	69
X	7399085	7399137	C10A4.10/WBGene00050957/clean	0	+	10	0.0390032	0.0390032	0.960997	0	-	0	0	76	76	0.0619718	NonUniformIntronCover	0.547619	2.44444	37	37
I	7631431	7631489	lrp-1/WBGene00003071/clean	0	+	10	0.0390184	0.960982	0.0390184	0.25	-	1	3	9	9	0	-	0	0	15	15
II	6303638	6304080	C29F5.1/WBGene00016210/clean	0	+	10	0.0390184	0.960982	0.0390184	0.148287	-	0.523148	2.95977	17	17	0.00935608	-	0.236111	0	25	25
X	17384832	17384971	F10D7.5/WBGene00017342/clean	0	-	10	0.0390184	0.0390184	0.960982	0	-	0	0	11	11	0.327411	NonUniformIntronCover	0.627907	7.30189	15	15
III	2781765	2782528	Y71H2AM.6/WBGene00022171/clean	0	+	10	0.0391733	0.960827	0.0391733	0.134749	NonUniformIntronCover	0.511288	2.49175	16	16	0.00745678	-	0.262948	0	35	35
III	11155048	11155101	cku-70/WBGene00000519/clean	0	+	10	0.0392312	0.960769	0.0392312	0.019334	-	1	18	913	913	0	-	0	0	173	173
II	7098386	7098440	mct-5/WBGene00020168/clean	0	-	10	0.0392913	0.960709	0.0392913	0.328244	NonUniformIntronCover	1	43	88	88	0	-	0	0	10	10
III	8092720	8092796	idi-1/WBGene00019460/clean	0	+	10	0.039685	0.039685	0.960315	0	-	0	0	68	68	0.0533333	NonUniformIntronCover	1	4	71	71
II	3347856	3347914	F14D2.8/WBGene00017456/clean	0	-	10	0.0396961	0.0396961	0.960304	0.52	-	1	26	24	24	0.928571	LowSplicing	1	13	1	1
V	14519163	14519237	R02D5.8/WBGene00050937/clean	0	-	10	0.0396967	0.960303	0.0396967	0.0521472	NonUniformIntronCover	0.984375	17	289	289	0	-	0	0	64	64
V	9092738	9092991	T27E4.1/WBGene00020861/clean	0	+	10	0.0397619	0.0397619	0.960238	0.0208479	-	0.489712	0.474747	23	23	0.141759	-	1	14.5354	88	88
IV	6156560	6156640	C11D2.4/WBGene00015702/clean	0	-	10	0.0397787	0.960221	0.0397787	0.0421893	NonUniformIntronCover	0.657143	7.92857	180	180	0	-	0	0	81	81
IV	6778288	6778346	anat-1/WBGene00015938/clean	0	+	10	0.0398596	0.96014	0.0398596	0.0923077	NonUniformIntronCover	1	6	59	47	0	-	0	0	38	38
X	6785190	6785243	H22K11.2/WBGene00019225/clean	0	+	10	0.039916	0.960084	0.039916	0.0484848	NonUniformIntronCover	1	8	157	157	0	-	0	0	71	71
II	7250726	7250889	prx-13/WBGene00004198/clean	0	-	10	0.04	0.04	0.96	0	-	0	0	48	48	0.117197	-	0.594771	1.46032	11	11
V	9893875	9893942	fshr-1/WBGene00008239/clean	0	+	19	0.0400754	0.0400754	0.959925	0.304348	-	1	7	16	16	1	LowCover	1	2	0	0
IV	11289789	11289848	F54D1.6/WBGene00010047/clean	0	+	10	0.0401218	0.959878	0.0401218	0.155172	NonUniformIntronCover	1	9	49	49	0	-	0	0	22	22
III	7765565	7765632	ZK686.2/WBGene00022792/clean	0	-	10	0.0401796	0.95982	0.0401796	0.0829493	-	1	18	199	199	0	-	0	0	40	40
IV	7812476	7812583	zgpa-1/WBGene00016383/clean	0	-	10	0.0401938	0.959806	0.0401938	0.0524194	NonUniformIntronCover	0.865979	13	235	235	0	-	0	0	64	64
X	8810932	8810988	R04E5.9/WBGene00019872/clean	0	-	10	0.0401992	0.0401992	0.959801	0.0441527	-	0.782609	37	801	800	0.066205	-	1	31.55	445	445
IV	15028707	15028772	Y41E3.8/WBGene00012766/clean	0	-	10	0.0402075	0.959793	0.0402075	0.0750368	NonUniformIntronCover	0.6	6.65217	82	82	0	-	0	0	44	44
V	20556028	20556088	Y38H6C.23/WBGene00012634/clean	0	-	10	0.0403271	0.959673	0.0403271	0.333333	-	1	15	30	30	0	-	0	0	10	10
III	4562999	4563055	pan-1/WBGene00003915/clean	0	+	10	0.0403725	0.0403725	0.959627	0	-	0	0	232	232	0.0148936	NonUniformIntronCover	0.826087	7	463	463
II	7211143	7211292	E04F6.8/WBGene00017127/clean	0	-	10	0.0404033	0.0404033	0.959597	0	-	0	0	35	35	0.0958361	NonUniformIntronCover	0.625899	20.3509	192	192
III	10465735	10465872	atx-2/WBGene00000231/clean	0	+	10	0.0404538	0.0404538	0.959546	0.00480855	-	0.212598	0	44	44	0.0885106	NonUniformIntronCover	0.503937	2.03922	21	21
IV	5398104	5398442	ZK616.2/WBGene00022772/clean	0	+	10	0.0405071	0.0405071	0.959493	0.00238641	-	0.310976	0.030303	130	130	0.0256123	NonUniformIntronCover	0.539634	1.73485	66	66
I	1801227	1801291	Y71G12B.5/WBGene00022145/clean	0	+	10	0.0407075	0.959292	0.0407075	0.142857	-	1	2	12	12	0.0477941	NonUniformIntronCover	1	13	259	259
III	243183	244683	hpo-29/WBGene00021754/clean	0	+	10	0.0407707	0.959229	0.0407707	0.107545	NonUniformIntronCover	0.559732	4.69966	39	39	0.00638888	-	0.199329	0	31	31
III	7890456	7890556	ZK688.5/WBGene00022800/clean	0	-	10	0.0407808	0.959219	0.0407808	0.305556	NonUniformIntronCover	0.888889	11	25	25	0	-	0	0	11	11
II	12784092	12784278	Y46G5A.15/WBGene00012906/clean	0	-	10	0.0408027	0.0408027	0.959197	0	-	0	0	69	69	0.0524608	NonUniformIntronCover	0.494318	4.04167	73	73
X	17624771	17625266	H18N23.2/WBGene00019211/clean	0	-	10	0.0408841	0.0408841	0.959116	0.00238304	-	0.195876	0	82	82	0.0432383	NonUniformIntronCover	0.4	2.89231	64	64
V	6507032	6507087	ubh-3/WBGene00006723/clean	0	-	10	0.0408897	0.95911	0.0408897	0.0176991	-	1	2	111	111	0	-	0	0	215	215
III	2768571	2768623	swsn-3/WBGene00022182/clean	0	-	10	0.0409117	0.0409117	0.959088	0.00765441	NonUniformIntronCover	0.880952	27.4444	3524	3524	0.0124426	-	1	16.5556	1311	1311
IV	1310659	1310741	F53H1.4/WBGene00018778/clean	0	+	10	0.0409415	0.959059	0.0409415	0.0211377	NonUniformIntronCover	1	38.2	1769	1769	0.0120259	-	1	13	1068	1068
IV	10254428	10254494	daf-14/WBGene00000910/clean	0	+	10	0.0410021	0.958998	0.0410021	0.0333333	-	1	2	58	58	0	-	0	0	114	114
I	5574796	5574893	M01E11.3/WBGene00019712/clean	0	+	10	0.0410062	0.958994	0.0410062	0.333333	LowCover	1	3	6	6	0	-	0	0	11	11
I	4634498	4634553	C44E4.4/WBGene00016653/clean	0	+	10	0.0410872	0.958913	0.0410872	0.0121581	-	1	16	1300	1300	0.00577201	NonUniformIntronCover	1	8	1378	1378
II	10692672	10693081	gbh-1/WBGene00001522/clean	0	-	10	0.0412407	0.0412407	0.958759	0.016757	-	0.255639	0	15	15	0.226891	NonUniformIntronCover	0.513784	5.86957	20	20
III	1391077	1391420	Y82E9BR.13/WBGene00022346/clean	0	-	10	0.0413612	0.958639	0.0413612	0.0177957	-	0.543544	0.607407	30	30	0.0087911	NonUniformIntronCover	0.981982	7.95556	897	891
X	5363504	5363741	chtl-1/WBGene00018037/clean	0	-	10	0.0414547	0.958545	0.0414547	0.182907	NonUniformIntronCover	0.427313	6.04396	27	26	0	-	0	0	19	19
IV	11210656	11210729	R07H5.8/WBGene00011128/clean	0	-	10	0.0416406	0.958359	0.0416406	0.0199336	NonUniformIntronCover	1	6	295	295	0	-	0	0	173	173
X	8390622	8390949	wrk-1/WBGene00006942/clean	0	-	10	0.0417462	0.0417462	0.958254	0.0032416	-	0.315457	0.0393701	97	97	0.0341657	NonUniformIntronCover	0.807571	4.74016	133	133
X	1147972	1148285	R193.2/WBGene00020128/clean	0	-	10	0.0417838	0.958216	0.0417838	0.0306171	-	1	58.1463	1841	1841	0.00257077	NonUniformIntronCover	0.270627	0	105	105
III	6838706	6838797	ten-1/WBGene00006498/clean	0	+	10	0.0418029	0.958197	0.0418029	0.130772	-	0.691358	12.7879	85	85	0.0447761	NonUniformIntronCover	1	3	64	64
V	1665725	1665778	K04F1.9/WBGene00019388/clean	0	+	10	0.0419121	0.958088	0.0419121	0.0384615	-	1	1	25	25	0	-	0	0	101	101
IV	6787815	6788014	C17H12.2/WBGene00015928/clean	0	-	10	0.0420112	0.957989	0.0420112	0.256263	NonUniformIntronCover	0.746032	11.026	32	32	0	-	0	0	13	13
X	7552870	7552922	F46C8.8/WBGene00018487/clean	0	-	10	0.0420776	0.957922	0.0420776	0.0625	-	1	1	15	15	0	-	0	0	62	62
X	13841829	13842524	M03B6.1/WBGene00010833/clean	0	+	10	0.0420776	0.0420776	0.957922	0	-	0	0	62	62	0.0749047	NonUniformIntronCover	0.360584	1.21455	15	15
IV	3745280	3745333	siah-1/WBGene00021369/clean	0	+	10	0.042248	0.957752	0.042248	0.0178218	NonUniformIntronCover	1	9	496	496	0.0069541	-	1	5	711	711
III	9767708	9768002	cbp-1/WBGene00000366/clean	0	+	10	0.0422509	0.957749	0.0422509	0.128053	NonUniformIntronCover	0.65493	4.55263	31	31	0	-	0	0	25	25
IV	260917	261131	pqbp-1.1/WBGene00020647/clean	0	-	10	0.0423164	0.957684	0.0423164	0.0342483	NonUniformIntronCover	0.936275	8.47561	239	238	0.00188182	-	0.196078	0	104	104
I	5492707	5492940	C09D4.2/WBGene00015633/clean	0	+	10	0.042347	0.957653	0.042347	0.0146603	-	0.766816	2.64835	175	175	0.000616726	NonUniformIntronCover	0.134529	0	218	218
I	11551787	11552064	dys-1/WBGene00001131/clean	0	-	10	0.0424882	0.957512	0.0424882	0.250741	NonUniformIntronCover	0.70412	8.70093	26	26	0.00743494	-	0.0973783	0	13	13
IV	3401607	3402248	pdhb-1/WBGene00015413/clean	0	+	10	0.0425995	0.9574	0.0425995	0.0794906	NonUniformIntronCover	0.827258	7.94466	92	90	0.00375912	-	0.158479	0	39	39
III	7946789	7946872	gsto-1/WBGene00016204/clean	0	-	10	0.0426141	0.0426141	0.957386	0.0231281	NonUniformIntronCover	0.876712	5.16129	218	218	0.0769231	-	0.876712	2	24	24
I	9657370	9657421	lab-1/WBGene00007278/clean	0	-	10	0.042697	0.042697	0.957303	0.011879	NonUniformIntronCover	1	11	915	915	0.0251397	-	1	9	349	349
III	5379758	5379835	paqr-2/WBGene00021313/clean	0	-	10	0.0428495	0.957151	0.0428495	0.119048	-	1	5	37	37	0.0127033	NonUniformIntronCover	0.373134	0.185185	29	29
V	7983148	7983199	Y97E10AL.3/WBGene00022394/clean	0	-	10	0.0429688	0.0429688	0.957031	0.00116378	NonUniformIntronCover	0.365854	0.529412	314	314	0.0222222	-	1	1	44	44
IV	6022285	6022939	pqn-22/WBGene00004112/clean	0	-	41	0.0429804	0.0429804	0.95702	0.0039746	-	0.25938	0	65	65	0.0621737	-	0.353997	1.06073	16	16
V	1869780	1869833	knl-3/WBGene00020392/clean	0	+	10	0.0430398	0.95696	0.0430398	0.116736	NonUniformIntronCover	1	11.8947	90	90	0.0222222	-	1	1	44	44
X	4281144	4281200	ets-9/WBGene00016865/clean	0	+	10	0.0431513	0.0431513	0.956849	0.0222672	-	0.478261	0.45	21	21	0.168399	NonUniformIntronCover	0.478261	4.05	20	20
II	13046641	13046814	F42G4.7/WBGene00009644/clean	0	-	49	0.0432083	0.0432083	0.956792	0	-	0	0	254	254	0.0126057	NonUniformIntronCover	0.596774	7.66	600	600
III	7994295	7994421	npr-17/WBGene00015559/clean	0	-	10	0.0432544	0.0432544	0.956746	0	-	0	0	17	17	0.191629	NonUniformIntronCover	0.655172	24.4167	103	103
II	8662004	8662123	D2085.3/WBGene00008428/clean	0	+	10	0.0433297	0.95667	0.0433297	0.0757129	NonUniformIntronCover	1	15.4	188	188	0	-	0	0	44	44
V	20833189	20833397	num-1/WBGene00003830/clean	0	+	10	0.0433789	0.956621	0.0433789	0.100529	-	1	38	340	340	0.0584279	-	1	13.9	224	224
III	13472072	13472145	pssy-2/WBGene00012095/clean	0	+	10	0.0434907	0.956509	0.0434907	0.106383	-	1	10	84	84	0	-	0	0	31	31
X	17436011	17436082	C36E6.1/WBGene00016489/clean	0	+	10	0.0436966	0.0436966	0.956303	0.037037	-	0.934426	1	26	26	0.205801	NonUniformIntronCover	0.819672	5.96	23	23
IV	10676560	10676702	epi-1/WBGene00001328/clean	0	+	10	0.0437821	0.956218	0.0437821	0.189573	NonUniformIntronCover	0.522727	4.44444	19	19	0	-	0	0	20	20
IV	5984456	5984567	unc-44/WBGene00006780/clean	0	+	10	0.0438009	0.0438009	0.956199	0.0841924	NonUniformIntronCover	0.50495	3.58537	39	39	0.256895	-	0.613861	7.95122	23	23
III	2152043	2152235	gcn-1/WBGene00021697/clean	0	+	10	0.0438693	0.956131	0.0438693	0.37062	-	1	73.6081	125	125	0.236571	NonUniformIntronCover	0.928571	17.973	58	58
I	5130162	5130224	Y110A7A.7/WBGene00022457/clean	0	+	10	0.0438871	0.0438871	0.956113	0.155756	-	1	12.5455	68	68	0.311758	-	1	13.1364	29	29
X	724590	725138	sli-1/WBGene00004829/clean	0	-	10	0.0439211	0.0439211	0.956079	0.00157799	-	0.263941	0	167	167	0.0197316	NonUniformIntronCover	0.460967	2.77778	138	138
IV	241825	241953	cogc-8/WBGene00019820/clean	0	+	10	0.0440932	0.955907	0.0440932	0.161708	-	0.584746	10.4167	54	54	0	-	0	0	21	21
II	4905209	4905267	btbd-10/WBGene00019888/clean	0	+	10	0.044108	0.044108	0.955892	0.246575	-	1	18	55	55	0.398148	-	1	43	65	65
III	5804173	5804229	him-10/WBGene00001869/clean	0	+	10	0.0441609	0.0441609	0.955839	0	-	0	0	109	109	0.0344828	-	1	1	28	28
IV	15401108	15401331	nhr-5/WBGene00003604/clean	0	+	10	0.044353	0.044353	0.955647	0.225126	MinorIsoform	1	22.0805	48	48	0.365071	-	0.868545	24.7241	34	34
I	5009853	5010384	F54C1.1/WBGene00018789/clean	0	+	10	0.0443912	0.0443912	0.955609	0.00695145	-	0.357006	0.143541	51	51	0.0708859	NonUniformIntronCover	0.3762	4.19617	55	55
X	13767923	13768485	nkb-3/WBGene00010117/clean	0	-	10	0.0444246	0.0444246	0.955575	0.00291341	-	0.362319	0.157658	124	124	0.0358623	NonUniformIntronCover	0.483696	2.45495	66	66
X	10058077	10058162	ZC373.2/WBGene00013867/clean	0	-	10	0.044457	0.044457	0.955543	0.0230132	NonUniformIntronCover	0.826667	34.2258	1453	1453	0.0882353	-	0.826667	1.25806	13	13
II	8603953	8604004	suf-1/WBGene00006307/clean	0	+	10	0.0444762	0.955524	0.0444762	0.0251375	NonUniformIntronCover	0.682927	5.64706	219	219	0.000193536	-	0.0243902	0	126	126
X	9793245	9793578	F36G3.2/WBGene00009483/clean	0	-	14	0.0445035	0.0445035	0.955496	0	-	0	0	93	93	0.0344692	NonUniformIntronCover	0.319749	2.71318	76	76
X	11857620	11857678	mes-1/WBGene00003219/clean	0	+	10	0.0445978	0.0445978	0.955402	0.310345	-	1	18	40	40	1	LowCover	1	1	0	0
I	383064	383120	taf-4/WBGene00006385/clean	0	+	10	0.0446769	0.0446769	0.955323	0.0384615	NonUniformIntronCover	1	19	475	471	0.0671937	-	1	17	236	236
V	11936228	11936308	F58H1.8/WBGene00138720/clean	0	+	10	0.044944	0.955056	0.044944	0.0506706	-	1	4.85714	91	91	0	-	0	0	65	65
V	20715835	20715886	Y44A6C.1/WBGene00012850/clean	0	+	10	0.0449492	0.955051	0.0449492	0.125	-	1	2	14	14	0	-	0	0	29	29
I	3380306	3380361	W05F2.4/WBGene00021036/clean	0	-	10	0.0450206	0.954979	0.0450206	1	LowSplicing	1	19	0	0	0.629032	-	1	39	23	23
V	11715443	11715756	tre-3/WBGene00006609/clean	0	-	10	0.0450807	0.0450807	0.954919	0	-	0	0	55	55	0.0670574	NonUniformIntronCover	0.716172	3.1626	44	44
III	3398528	3398838	clpf-1/WBGene00010304/clean	0	+	10	0.045092	0.954908	0.045092	0.025817	NonUniformIntronCover	0.746667	7.20833	272	272	0	-	0	0	132	132
I	462318	462370	W04C9.4/WBGene00021026/clean	0	+	10	0.0451208	0.954879	0.0451208	0.0129669	NonUniformIntronCover	0.571429	11.1667	850	850	0.00324149	-	0.571429	1.33333	410	410
III	653538	653610	orai-1/WBGene00015648/clean	0	+	10	0.0452507	0.954749	0.0452507	0.246377	NonUniformIntronCover	0.564516	9.80769	30	30	0	-	0	0	13	13
V	14773898	14774494	haf-7/WBGene00001817/clean	0	+	10	0.0452675	0.0452675	0.954733	0.0117269	-	0.510239	0.525424	43	43	0.137361	NonUniformIntronCover	0.687713	3.02542	16	16
III	5440360	5440519	W03A5.6/WBGene00020970/clean	0	-	10	0.0452984	0.954702	0.0452984	0.0507614	NonUniformIntronCover	0.812081	10	187	187	0	-	0	0	64	64
III	8432059	8432110	ZK1236.5/WBGene00022864/clean	0	-	10	0.0453094	0.0453094	0.954691	0.326531	-	1	32	66	66	0.5	NonUniformIntronCover	0.97561	30	30	30
X	17463181	17463748	slc-17.1/WBGene00022647/clean	0	-	10	0.0453631	0.0453631	0.954637	0.00111109	-	0.102334	0	92	92	0.0395535	NonUniformIntronCover	0.35368	2.01794	49	49
X	7816966	7817073	sek-1/WBGene00004758/clean	0	+	10	0.0455125	0.954487	0.0455125	0.168993	-	1	5.89744	29	29	0.0454545	-	0.958763	2	42	42
III	8907802	8907856	unc-32/WBGene00006768/clean	0	+	10	0.0456932	0.0456932	0.954307	0	NonUniformIntronCover	0	0	140	140	0.0243902	-	1	4	160	160
V	15657888	15658986	F53E4.1/WBGene00009978/clean	0	-	11	0.045697	0.045697	0.954303	0.0880503	-	0.435143	1.93103	20	20	0.314073	NonUniformIntronCover	0.73873	12.8207	28	28
III	11470436	11470589	bed-2/WBGene00012943/clean	0	-	10	0.0457179	0.954282	0.0457179	0.0419873	NonUniformIntronCover	0.965035	11.7458	268	268	0.000372821	-	0.027972	0	75	75
X	14747620	14747716	C05G5.2/WBGene00007348/clean	0	+	10	0.0457817	0.954218	0.0457817	0.0588235	NonUniformIntronCover	0.709302	4	64	64	0	-	0	0	58	58
II	12055842	12055902	Y17G7B.10/WBGene00012463/clean	0	+	10	0.045853	0.954147	0.045853	0.0254237	-	1	3	115	115	0	-	0	0	137	137
III	2377009	2379597	H14E04.2/WBGene00019199/clean	0	+	451	0.0458549	0.954145	0.0458549	0.0296942	NonUniformIntronCover	0.515676	4.43743	145	145	0.000824672	-	0.10482	0	127	127
V	14421040	14421163	dhs-22/WBGene00000985/clean	0	-	10	0.0458803	0.0458803	0.95412	0.030902	NonUniformIntronCover	0.814159	61.7021	1935	1935	0.0451342	-	1	32.4255	686	686
I	14200280	14200341	best-26/WBGene00014103/clean	0	+	10	0.0459118	0.0459118	0.954088	0.000466636	-	0.0196078	0	42	42	0.0752356	NonUniformIntronCover	0.588235	22.0476	271	271
V	7852680	7852732	C37C3.9/WBGene00016501/clean	0	-	10	0.0459184	0.0459184	0.954082	0	-	0	0	11	11	0.333333	LowCover	1	1	2	2
V	8032875	8033060	vars-1/WBGene00006935/clean	0	+	10	0.0459184	0.954082	0.0459184	0.21978	LowCover	0.457143	1.40845	5	5	0.00233221	-	0.0514286	0	22	22
III	4017384	4017456	tbb-2/WBGene00006537/clean	0	-	10	0.045941	0.954059	0.045941	0.0391415	-	1	84.7308	2080	2080	0.0284722	NonUniformIntronCover	1	41	1399	1399
V	11039152	11039275	pak-2/WBGene00006443/clean	0	-	10	0.0460851	0.953915	0.0460851	0.0525708	-	1	12.5957	227	227	0.00239413	NonUniformIntronCover	0.141593	0	59	59
I	7302689	7302891	ttx-7/WBGene00008765/clean	0	-	10	0.0461988	0.953801	0.0461988	0.22807	NonUniformIntronCover	0.807292	13	44	44	0	-	0	0	14	14
IV	4313481	4314083	set-9/WBGene00017482/clean	0	+	10	0.0462049	0.0462049	0.953795	0.00400577	-	0.337838	0.323529	84	84	0.0629921	NonUniformIntronCover	0.375	1.47899	22	22
I	5970848	5970901	avr-14/WBGene00000232/clean	0	-	10	0.0463323	0.0463323	0.953668	0	-	0	0	10	10	0.315726	NonUniformIntronCover	0.651163	13.8421	30	30
IV	8829441	8829688	T28C6.7/WBGene00012121/clean	0	+	10	0.0463323	0.953668	0.0463323	0.211241	NonUniformIntronCover	0.506329	13.9263	52	52	0	-	0	0	15	15
I	6345556	6353971	bli-4/WBGene00000254/clean	0	+	1504	0.0463574	0.953643	0.0463574	0.15064	MinorIsoform	0.716684	8.15841	46	31	0.0354715	-	0.465056	1.28716	35	34
I	6817285	6817337	teg-4/WBGene00019323/clean	0	+	10	0.0464666	0.0464666	0.953533	0	-	0	0	30	30	0.115385	-	1	3	23	23
III	7340358	7340450	kap-1/WBGene00002182/clean	0	+	10	0.0466521	0.953348	0.0466521	0.142857	NonUniformIntronCover	0.878049	4	24	24	0.025	-	0.890244	1	39	39
IV	8632314	8632520	dgk-4/WBGene00006483/clean	0	+	10	0.046656	0.046656	0.953344	0.000239101	NonUniformIntronCover	0.0153061	0	64	64	0.045279	-	0.535714	1.6125	34	34
V	14235307	14235360	ent-3/WBGene00010510/clean	0	-	10	0.04672	0.95328	0.04672	0.0633803	-	0.697674	1.89474	28	28	0.0232998	NonUniformIntronCover	0.697674	8.42105	353	353
V	18660980	18661087	Y69H2.3/WBGene00013481/clean	0	-	10	0.0467604	0.95324	0.0467604	0.0546728	NonUniformIntronCover	0.948454	10.4103	169	169	0.00219224	-	0.134021	0	58	58
III	1775627	1775897	Y39A3CL.4/WBGene00021442/clean	0	-	10	0.046822	0.953178	0.046822	0.0144565	NonUniformIntronCover	0.638462	4.88462	333	333	1.70937e-05	-	0.00384615	0	225	225
III	11290325	11290412	mib-1/WBGene00012933/clean	0	-	10	0.047067	0.047067	0.952933	0.0367475	-	0.61039	0.774194	16	16	0.286391	NonUniformIntronCover	1	54.5806	136	136
X	8553297	8553675	dhhc-14/WBGene00044071/clean	0	+	10	0.0470893	0.0470893	0.952911	0	-	0	0	23	23	0.153846	NonUniformIntronCover	0.730978	2	11	11
V	5277884	5277935	B0238.9/WBGene00015073/clean	0	-	10	0.0471107	0.952889	0.0471107	0.184466	-	1	19	84	84	0	-	0	0	17	17
X	8557374	8557427	utx-1/WBGene00017046/clean	0	+	10	0.0472039	0.0472039	0.952796	0.0740741	-	1	6	75	75	0.214286	-	1	3	11	11
X	4266606	4266901	coel-1/WBGene00016866/clean	0	+	10	0.047204	0.047204	0.952796	0.00625225	NonUniformIntronCover	0.364912	0.826087	58	58	0.0957088	-	0.698246	7.4087	70	70
V	19405812	19405864	C25F9.10/WBGene00044291/clean	0	+	10	0.0472287	0.0472287	0.952771	0.00951593	NonUniformIntronCover	0.547619	0.611111	57	57	0.0857664	-	1	15.6667	167	167
IV	12592993	12593149	pgp-1/WBGene00003995/clean	0	-	10	0.0474903	0.0474903	0.95251	0.049376	-	0.623288	0.8	12	12	0.418605	NonUniformIntronCover	0.623288	7.2	10	10
V	15765754	15765806	haf-3/WBGene00001813/clean	0	-	10	0.0477528	0.952247	0.0477528	0.0108827	NonUniformIntronCover	0.904762	9	818	818	0	-	0	0	294	294
I	4255537	4255588	met-1/WBGene00016603/clean	0	+	10	0.047814	0.952186	0.047814	0.032967	-	1	6	176	176	0	-	0	0	99	99
I	7226787	7226838	swsn-9/WBGene00007256/clean	0	+	10	0.0480064	0.951994	0.0480064	0.12938	NonUniformIntronCover	0.487805	2.82353	19	19	0	-	0	0	25	25
I	9813520	9813773	F35C12.3/WBGene00009408/clean	0	-	10	0.048034	0.951966	0.048034	0.077736	NonUniformIntronCover	0.761317	10.0303	119	119	0	-	0	0	41	41
I	5403684	5403893	frm-4/WBGene00001491/clean	0	-	10	0.0480841	0.951916	0.0480841	0.11337	NonUniformIntronCover	0.442211	1.79012	14	14	0	-	0	0	28	28
III	7920178	7920234	C29E4.14/WBGene00044634/clean	0	+	10	0.0481217	0.0481217	0.951878	0	-	0	0	20	20	0.154839	NonUniformIntronCover	0.76087	24	131	131
IV	9150849	9150919	F23B2.7/WBGene00009075/clean	0	+	10	0.0481415	0.0481415	0.951859	0.0371113	-	0.616667	0.791667	16	16	0.297959	NonUniformIntronCover	0.933333	18.25	43	43
II	10143219	10143330	F27E5.3/WBGene00009193/clean	0	-	10	0.0481822	0.0481822	0.951818	0	-	0	0	20	20	0.15873	NonUniformIntronCover	0.891089	10	53	53
IV	5187329	5187383	W03F8.3/WBGene00020993/clean	0	+	10	0.0482546	0.951745	0.0482546	0.0350195	-	1	9	248	248	0	-	0	0	91	91
II	11523900	11524571	age-1/WBGene00000090/clean	0	-	10	0.0482828	0.951717	0.0482828	0.210638	NonUniformIntronCover	0.449319	3.73585	14	14	0.00161112	-	0.0242057	0	15	15
X	2091010	2091061	lsy-2/WBGene00003087/clean	0	+	10	0.0483589	0.0483589	0.951641	0.369407	-	1	56.8235	97	97	0.508005	-	1	48.5294	47	47
III	4338020	4338078	cdk-12/WBGene00007135/clean	0	+	10	0.0484445	0.951555	0.0484445	0.15625	-	1	5	27	27	0	-	0	0	21	21
IV	2676566	2676621	Y94H6A.3/WBGene00022376/clean	0	+	10	0.0484865	0.951513	0.0484865	0.0480929	NonUniformIntronCover	1	58	1148	1148	0.0312012	-	1	20	621	621
I	14114269	14114484	Y63D3A.8/WBGene00013407/clean	0	+	10	0.0485493	0.0485493	0.951451	0	-	0	0	46	46	0.101894	NonUniformIntronCover	0.487805	1.36145	12	12
V	472944	473001	srt-31/WBGene00019740/clean	0	+	10	0.0485926	0.951407	0.0485926	0.5	LowCover	1	1	1	1	0.0769231	-	1	1	12	12
I	5760051	5760104	ccpp-1/WBGene00018995/clean	0	-	10	0.0486589	0.0486589	0.951341	0	-	0	0	160	160	0.0217391	-	1	2	90	90
I	6972535	6972690	C30F12.4/WBGene00016263/clean	0	-	10	0.0490416	0.950958	0.0490416	0.163577	NonUniformIntronCover	0.503448	2.54237	13	13	0	-	0	0	18	18
X	3730557	3730628	aex-4/WBGene00006454/clean	0	+	10	0.0491072	0.950893	0.0491072	0.0384615	-	1	2	50	50	0.000728067	NonUniformIntronCover	0.0655738	0	90	90
III	9472142	9472231	bre-3/WBGene00000268/clean	0	-	10	0.0491119	0.0491119	0.950888	0.00420168	-	1	1	237	237	0.0223336	NonUniformIntronCover	1	5.93939	260	260
I	14710423	14710484	Y54E5A.6/WBGene00013201/clean	0	-	10	0.0492674	0.0492674	0.950733	0.0127996	NonUniformIntronCover	1	2.61905	202	202	0.0481928	-	1	4	79	79
V	9981688	9981740	tofu-1/WBGene00007785/clean	0	+	10	0.0492801	0.0492801	0.95072	0.012963	-	1	14	1066	1066	0.0255682	NonUniformIntronCover	1	9	343	343
